[Log] 5 (index.js, line 80)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 27 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:55 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366552528036166 (index.js, line 82)
[Log] Longitude: -75.77907063074016 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 28 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:56 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366526334588755 (index.js, line 82)
[Log] Longitude: -75.7791344170233 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 29 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:57 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36650252998375 (index.js, line 82)
[Log] Longitude: -75.7791962754687 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 30 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:58 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366443186109294 (index.js, line 82)
[Log] Longitude: -75.77933709144199 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 31 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:59 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36641943700084 (index.js, line 82)
[Log] Longitude: -75.7794205080063 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 32 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:00 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36637468750824 (index.js, line 82)
[Log] Longitude: -75.7795276156321 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 33 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:01 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366313945974426 (index.js, line 82)
[Log] Longitude: -75.77967279510631 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 34 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:02 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36627596678281 (index.js, line 82)
[Log] Longitude: -75.77976172840863 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 35 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:03 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366232897352134 (index.js, line 82)
[Log] Longitude: -75.7798625810392 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 36 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:03 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36619208085282 (index.js, line 82)
[Log] Longitude: -75.7799544964655 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 37 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:04 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366153953436644 (index.js, line 82)
[Log] Longitude: -75.78004091454204 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 38 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:05 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36608657514021 (index.js, line 82)
[Log] Longitude: -75.78019380569458 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 39 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:06 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36600566835433 (index.js, line 82)
[Log] Longitude: -75.78037739425781 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 40 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:07 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36594666365717 (index.js, line 82)
[Log] Longitude: -75.78051128435618 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 41 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:08 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36593326543111 (index.js, line 82)
[Log] Longitude: -75.78054168676317 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 42 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:09 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365858175128984 (index.js, line 82)
[Log] Longitude: -75.78071207644825 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 43 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:10 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365831569562154 (index.js, line 82)
[Log] Longitude: -75.7807724480881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 44 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:12 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36576065567494 (index.js, line 82)
[Log] Longitude: -75.7809319927037 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 45 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:13 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365682627108576 (index.js, line 82)
[Log] Longitude: -75.78110746047969 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 46 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:14 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36562011492345 (index.js, line 82)
[Log] Longitude: -75.78124803661922 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 47 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:15 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36554493403085 (index.js, line 82)
[Log] Longitude: -75.78141710026102 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 48 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:16 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365474545191226 (index.js, line 82)
[Log] Longitude: -75.78157538840969 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 49 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:17 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365404179727925 (index.js, line 82)
[Log] Longitude: -75.7817336228618 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 50 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:18 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365308884425836 (index.js, line 82)
[Log] Longitude: -75.78194791898568 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 51 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:19 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365258263001394 (index.js, line 82)
[Log] Longitude: -75.78206175407104 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 52 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:20 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36518117368242 (index.js, line 82)
[Log] Longitude: -75.78223510803582 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 53 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:21 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36511712657969 (index.js, line 82)
[Log] Longitude: -75.78237913368866 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 54 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:22 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36503901615166 (index.js, line 82)
[Log] Longitude: -75.78255478416395 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 55 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:23 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36497130664974 (index.js, line 82)
[Log] Longitude: -75.78270704454553 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 56 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:24 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36490958225689 (index.js, line 82)
[Log] Longitude: -75.78284694554895 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 57 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:25 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36482833332743 (index.js, line 82)
[Log] Longitude: -75.78303194614364 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 58 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:26 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36475929577693 (index.js, line 82)
[Log] Longitude: -75.78318882729491 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 59 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:27 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36469044631592 (index.js, line 82)
[Log] Longitude: -75.78334381908007 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 60 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:28 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36462376744285 (index.js, line 82)
[Log] Longitude: -75.78349892840833 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 61 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:29 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36456907734747 (index.js, line 82)
[Log] Longitude: -75.7836315204986 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 62 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:30 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36451235684887 (index.js, line 82)
[Log] Longitude: -75.7837684313563 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 63 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:31 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.364443413230084 (index.js, line 82)
[Log] Longitude: -75.78393428040727 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 64 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:32 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36436984567233 (index.js, line 82)
[Log] Longitude: -75.78411125250568 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 65 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:33 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36430466538035 (index.js, line 82)
[Log] Longitude: -75.78426804779156 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 66 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:34 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36424586456743 (index.js, line 82)
[Log] Longitude: -75.78440800723911 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 67 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:35 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36419319572695 (index.js, line 82)
[Log] Longitude: -75.78453216548951 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 68 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:36 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36413772306746 (index.js, line 82)
[Log] Longitude: -75.78466293103702 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 69 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:37 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.364074705839435 (index.js, line 82)
[Log] Longitude: -75.7848122363066 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 70 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:38 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3640186860192 (index.js, line 82)
[Log] Longitude: -75.78494629175111 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 71 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:39 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.363963637850176 (index.js, line 82)
[Log] Longitude: -75.78507802252716 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 72 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:40 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.363927028605005 (index.js, line 82)
[Log] Longitude: -75.7851656278217 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 73 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:41 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36387215196004 (index.js, line 82)
[Log] Longitude: -75.78529488921049 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 74 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:42 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36383265467422 (index.js, line 82)
[Log] Longitude: -75.78538784713601 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 75 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:43 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36378176553678 (index.js, line 82)
[Log] Longitude: -75.7855076166743 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 76 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:44 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3636721290049 (index.js, line 82)
[Log] Longitude: -75.7857314645662 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 77 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:45 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.363607452169084 (index.js, line 82)
[Log] Longitude: -75.78586487892608 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 78 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:46 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.363563743249756 (index.js, line 82)
[Log] Longitude: -75.78596248356916 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 79 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:47 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36349230362487 (index.js, line 82)
[Log] Longitude: -75.78612429162604 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 80 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:48 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36343286957016 (index.js, line 82)
[Log] Longitude: -75.78625896916492 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 81 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:49 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.363358863149536 (index.js, line 82)
[Log] Longitude: -75.78642666747328 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 82 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:50 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36330679436566 (index.js, line 82)
[Log] Longitude: -75.78654563680175 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 83 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:51 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3632411658673 (index.js, line 82)
[Log] Longitude: -75.78669597016415 (index.js, line 83)
[Log] Accuracy: 30 (index.js, line 84)
[Log] 84 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:52 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36319370781385 (index.js, line 82)
[Log] Longitude: -75.78680468082894 (index.js, line 83)
[Log] Accuracy: 30 (index.js, line 84)
[Log] 85 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:53 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.363148036499666 (index.js, line 82)
[Log] Longitude: -75.78690929811273 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 86 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:54 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.363135741378976 (index.js, line 82)
[Log] Longitude: -75.78693746196222 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 87 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:55 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36312856826548 (index.js, line 82)
[Log] Longitude: -75.78695389376662 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 88 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:56 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36312857217629 (index.js, line 82)
[Log] Longitude: -75.78695388394408 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 89 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:57 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36299995265172 (index.js, line 82)
[Log] Longitude: -75.7872483729443 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 90 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:58 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36293060207456 (index.js, line 82)
[Log] Longitude: -75.78740724340605 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 91 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:37:59 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36287251114384 (index.js, line 82)
[Log] Longitude: -75.78754046589893 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 92 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:00 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36283312473377 (index.js, line 82)
[Log] Longitude: -75.78763079269265 (index.js, line 83)
[Log] Accuracy: 50 (index.js, line 84)
[Log] 93 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:01 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36278252317866 (index.js, line 82)
[Log] Longitude: -75.78774683948723 (index.js, line 83)
[Log] Accuracy: 30 (index.js, line 84)
[Log] 94 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:02 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36275634037587 (index.js, line 82)
[Log] Longitude: -75.78780688534607 (index.js, line 83)
[Log] Accuracy: 30 (index.js, line 84)
[Log] 95 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:03 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.362741300223476 (index.js, line 82)
[Log] Longitude: -75.78784137753246 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 96 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:04 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.362736294813494 (index.js, line 82)
[Log] Longitude: -75.78785285615595 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 97 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:05 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36272725802062 (index.js, line 82)
[Log] Longitude: -75.78787358106638 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 98 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:06 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.362711643657484 (index.js, line 82)
[Log] Longitude: -75.78790939012833 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 99 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:07 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.362674932610425 (index.js, line 82)
[Log] Longitude: -75.78799358045217 (index.js, line 83)
[Log] Accuracy: 30 (index.js, line 84)
[Log] 100 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:08 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36261899905302 (index.js, line 82)
[Log] Longitude: -75.78812185500283 (index.js, line 83)
[Log] Accuracy: 30 (index.js, line 84)
[Log] 101 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:09 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36255883574286 (index.js, line 82)
[Log] Longitude: -75.7882598296419 (index.js, line 83)
[Log] Accuracy: 30 (index.js, line 84)
[Log] 102 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:38:10 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36249667277276 (index.js, line 82)
