[Log] 13 (index.js, line 80)
[Log] 22 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:36 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3648717764931 (index.js, line 82)
[Log] Longitude: -75.78255269793772 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 23 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:37 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36494115574611 (index.js, line 82)
[Log] Longitude: -75.78239109656352 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 24 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:38 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36500859429706 (index.js, line 82)
[Log] Longitude: -75.78223401527794 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 25 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:39 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36507767111014 (index.js, line 82)
[Log] Longitude: -75.78207311727965 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 26 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:40 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36514477410092 (index.js, line 82)
[Log] Longitude: -75.78191681672251 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 27 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:41 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36521168009862 (index.js, line 82)
[Log] Longitude: -75.78176097536925 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 28 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:42 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36527856761407 (index.js, line 82)
[Log] Longitude: -75.78160517658034 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 29 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:43 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365341909695786 (index.js, line 82)
[Log] Longitude: -75.78145763576686 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 30 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:44 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36540560918614 (index.js, line 82)
[Log] Longitude: -75.78130949872502 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 31 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:45 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36546716695027 (index.js, line 82)
[Log] Longitude: -75.78116708560628 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 32 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:46 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36553243193698 (index.js, line 82)
[Log] Longitude: -75.78101609544319 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 33 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:47 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36559688619606 (index.js, line 82)
[Log] Longitude: -75.78086698056723 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 34 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:48 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36566534763119 (index.js, line 82)
[Log] Longitude: -75.78070859533909 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 35 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:49 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.365733412859754 (index.js, line 82)
[Log] Longitude: -75.78055567995762 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 36 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:50 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36582042290757 (index.js, line 82)
[Log] Longitude: -75.78036627121037 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 37 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:51 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36589409991652 (index.js, line 82)
[Log] Longitude: -75.78020588611253 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 38 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:52 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36596692845656 (index.js, line 82)
[Log] Longitude: -75.7800473489624 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 39 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:53 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36603495145574 (index.js, line 82)
[Log] Longitude: -75.77989927183808 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 40 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:54 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366101115686284 (index.js, line 82)
[Log] Longitude: -75.77975426393095 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 41 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:55 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36617274087566 (index.js, line 82)
[Log] Longitude: -75.77959706264664 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 42 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:56 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36625030777604 (index.js, line 82)
[Log] Longitude: -75.77942682160938 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 43 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:57 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36631872471381 (index.js, line 82)
[Log] Longitude: -75.77927489732247 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 44 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:58 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366375403835335 (index.js, line 82)
[Log] Longitude: -75.7791465520495 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 45 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:59 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36645897710723 (index.js, line 82)
[Log] Longitude: -75.77895576650917 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 46 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:00 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36652546012869 (index.js, line 82)
[Log] Longitude: -75.77880398170237 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 47 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:01 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366595657653 (index.js, line 82)
[Log] Longitude: -75.77864371611213 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 48 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:02 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36666569452701 (index.js, line 82)
[Log] Longitude: -75.77848381690274 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 49 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:02 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36673090706365 (index.js, line 82)
[Log] Longitude: -75.77833493203798 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 50 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:03 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36680095113124 (index.js, line 82)
[Log] Longitude: -75.77817499484809 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 51 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:04 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36687427077301 (index.js, line 82)
[Log] Longitude: -75.77800756829674 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 52 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:05 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36694679026823 (index.js, line 82)
[Log] Longitude: -75.77784196873836 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 53 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:06 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36701634502095 (index.js, line 82)
[Log] Longitude: -75.77768313887645 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 54 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:08 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.367095064602395 (index.js, line 82)
[Log] Longitude: -75.7775033811049 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 55 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:08 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36717394831653 (index.js, line 82)
[Log] Longitude: -75.77732290759741 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 56 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:09 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.367249691539804 (index.js, line 82)
[Log] Longitude: -75.77714904662571 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 57 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:11 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36732402089403 (index.js, line 82)
[Log] Longitude: -75.77697843036731 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 58 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:12 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.367399296034876 (index.js, line 82)
[Log] Longitude: -75.77680564332695 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 59 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:13 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36747440269365 (index.js, line 82)
[Log] Longitude: -75.77663324329478 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 60 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:14 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.367546376709335 (index.js, line 82)
[Log] Longitude: -75.77646832214668 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 61 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:15 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36761732947571 (index.js, line 82)
[Log] Longitude: -75.77630535306525 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 62 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:16 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36768817296117 (index.js, line 82)
[Log] Longitude: -75.77614169968001 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 63 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:17 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36776702426237 (index.js, line 82)
[Log] Longitude: -75.77595954717253 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 64 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:18 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.367836153776544 (index.js, line 82)
[Log] Longitude: -75.77580312841746 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 65 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:19 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.367909370662844 (index.js, line 82)
[Log] Longitude: -75.7756334322039 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 66 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:20 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36797770827588 (index.js, line 82)
[Log] Longitude: -75.77547504435643 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 67 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:21 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36805095010948 (index.js, line 82)
[Log] Longitude: -75.77530528986244 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 68 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:22 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3681252761393 (index.js, line 82)
[Log] Longitude: -75.77513302276202 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 69 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:23 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.368198418611435 (index.js, line 82)
[Log] Longitude: -75.77496424397395 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 70 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:24 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.368273558655645 (index.js, line 82)
[Log] Longitude: -75.77479131286964 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 71 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:25 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36835101289523 (index.js, line 82)
[Log] Longitude: -75.77461262379074 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 72 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:26 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.368428592565465 (index.js, line 82)
[Log] Longitude: -75.7744334488234 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 73 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:27 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.368499466304 (index.js, line 82)
[Log] Longitude: -75.77426976138668 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 74 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:28 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.368572790299915 (index.js, line 82)
[Log] Longitude: -75.77410027210135 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 75 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:29 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36864309443047 (index.js, line 82)
[Log] Longitude: -75.7739375957317 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 76 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:30 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36870235854343 (index.js, line 82)
[Log] Longitude: -75.77380046386679 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 77 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:31 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36875635042827 (index.js, line 82)
[Log] Longitude: -75.77367553160002 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 78 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:32 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36881011844774 (index.js, line 82)
[Log] Longitude: -75.77355111730867 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 79 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:33 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36885449923993 (index.js, line 82)
[Log] Longitude: -75.77344842458842 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 80 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:34 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36889620194135 (index.js, line 82)
[Log] Longitude: -75.77335192792816 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 81 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:35 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36892446856542 (index.js, line 82)
[Log] Longitude: -75.77328649931587 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 82 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:36 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36894780288752 (index.js, line 82)
[Log] Longitude: -75.7732322494121 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 83 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:37 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36894984423483 (index.js, line 82)
[Log] Longitude: -75.77322750315943 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 84 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:38 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36894984423483 (index.js, line 82)
[Log] Longitude: -75.77322750315943 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 85 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:39 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36895056328959 (index.js, line 82)
[Log] Longitude: -75.77322583136265 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 86 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:40 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36895056328959 (index.js, line 82)
[Log] Longitude: -75.77322583136265 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 87 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:41 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36895056328959 (index.js, line 82)
[Log] Longitude: -75.77322583136265 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 88 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:42 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36904013441668 (index.js, line 82)
[Log] Longitude: -75.77301778008405 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 89 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:43 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36905611898108 (index.js, line 82)
[Log] Longitude: -75.77298065218201 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 90 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:44 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907944013752 (index.js, line 82)
[Log] Longitude: -75.7729264828231 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 91 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:45 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36908035747081 (index.js, line 82)
[Log] Longitude: -75.77292435198615 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 92 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:46 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3690773733773 (index.js, line 82)
[Log] Longitude: -75.77293128342717 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 93 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:47 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907795142611 (index.js, line 82)
[Log] Longitude: -75.77292994101299 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 94 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:48 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.369078606647754 (index.js, line 82)
[Log] Longitude: -75.77292841851886 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 95 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:49 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907823262972 (index.js, line 82)
[Log] Longitude: -75.77292928748648 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 96 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:50 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907823573503 (index.js, line 82)
[Log] Longitude: -75.77292928028328 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 97 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:51 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.369078238840345 (index.js, line 82)
[Log] Longitude: -75.77292927308008 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 98 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:52 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907824194566 (index.js, line 82)
[Log] Longitude: -75.77292926587688 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 99 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:53 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.369078318428436 (index.js, line 82)
[Log] Longitude: -75.77292908841628 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 100 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:54 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907832153375 (index.js, line 82)
[Log] Longitude: -75.77292908121308 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 101 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:55 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907832463907 (index.js, line 82)
[Log] Longitude: -75.77292907400988 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 102 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:56 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907832774439 (index.js, line 82)
[Log] Longitude: -75.77292906680668 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 103 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:57 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3690783308497 (index.js, line 82)
[Log] Longitude: -75.77292905960348 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 104 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:58 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907833395502 (index.js, line 82)
[Log] Longitude: -75.77292905240029 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 105 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:46:59 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907832015361 (index.js, line 82)
[Log] Longitude: -75.77292908448726 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 106 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:47:00 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.369078649432105 (index.js, line 82)
[Log] Longitude: -75.7729283196386 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 107 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:47:00 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907865253742 (index.js, line 82)
[Log] Longitude: -75.7729283124354 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 108 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:47:02 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907850566749 (index.js, line 82)
[Log] Longitude: -75.77292865360505 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 109 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:47:03 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907868784601 (index.js, line 82)
[Log] Longitude: -75.77292822992604 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 110 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:47:04 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36907822227866 (index.js, line 82)
